Number: 2, Binary: 10, Hexadecimal: 2
Number: 908, Binary: 1110001100, Hexadecimal: 38C
Number: 59, Binary: 111011, Hexadecimal: 3B
Number: 402, Binary: 110010010, Hexadecimal: 192
Number: 457, Binary: 111001001, Hexadecimal: 1C9
Number: 628, Binary: 1001110100, Hexadecimal: 274
Number: 614, Binary: 1001100110, Hexadecimal: 266
Number: 662, Binary: 1010010110, Hexadecimal: 296
Number: 257, Binary: 100000001, Hexadecimal: 101
Number: 190, Binary: 10111110, Hexadecimal: BE
Number: 645, Binary: 1010000101, Hexadecimal: 285
Number: 207, Binary: 11001111, Hexadecimal: CF
Number: 718, Binary: 1011001110, Hexadecimal: 2CE
Number: 239, Binary: 11101111, Hexadecimal: EF
Number: 176, Binary: 10110000, Hexadecimal: B0
Number: 362, Binary: 101101010, Hexadecimal: 16A
Number: 470, Binary: 111010110, Hexadecimal: 1D6
Number: 874, Binary: 1101101010, Hexadecimal: 36A
Number: 105, Binary: 1101001, Hexadecimal: 69
Number: 609, Binary: 1001100001, Hexadecimal: 261
Number: 815, Binary: 1100101111, Hexadecimal: 32F
Number: 778, Binary: 1100001010, Hexadecimal: 30A
Number: 734, Binary: 1011011110, Hexadecimal: 2DE
Number: 277, Binary: 100010101, Hexadecimal: 115
Number: 872, Binary: 1101101000, Hexadecimal: 368
Number: 292, Binary: 100100100, Hexadecimal: 124
Number: 348, Binary: 101011100, Hexadecimal: 15C
Number: 401, Binary: 110010001, Hexadecimal: 191
Number: 316, Binary: 100111100, Hexadecimal: 13C
Number: 357, Binary: 101100101, Hexadecimal: 165
Number: 249, Binary: 11111001, Hexadecimal: F9
Number: 576, Binary: 1001000000, Hexadecimal: 240
Number: 320, Binary: 101000000, Hexadecimal: 140
Number: 346, Binary: 101011010, Hexadecimal: 15A
Number: 544, Binary: 1000100000, Hexadecimal: 220
Number: 175, Binary: 10101111, Hexadecimal: AF
Number: 266, Binary: 100001010, Hexadecimal: 10A
Number: 819, Binary: 1100110011, Hexadecimal: 333
Number: 438, Binary: 110110110, Hexadecimal: 1B6
Number: 120, Binary: 1111000, Hexadecimal: 78
Number: 764, Binary: 1011111100, Hexadecimal: 2FC
Number: 520, Binary: 1000001000, Hexadecimal: 208
Number: 556, Binary: 1000101100, Hexadecimal: 22C
Number: 924, Binary: 1110011100, Hexadecimal: 39C
Number: 883, Binary: 1101110011, Hexadecimal: 373
Number: 840, Binary: 1101001000, Hexadecimal: 348
Number: 342, Binary: 101010110, Hexadecimal: 156
Number: 643, Binary: 1010000011, Hexadecimal: 283
Number: 245, Binary: 11110101, Hexadecimal: F5
Number: 613, Binary: 1001100101, Hexadecimal: 265
Number: 846, Binary: 1101001110, Hexadecimal: 34E
Number: 763, Binary: 1011111011, Hexadecimal: 2FB
Number: 867, Binary: 1101100011, Hexadecimal: 363
Number: 326, Binary: 101000110, Hexadecimal: 146
Number: 810, Binary: 1100101010, Hexadecimal: 32A
Number: 680, Binary: 1010101000, Hexadecimal: 2A8
Number: 683, Binary: 1010101011, Hexadecimal: 2AB
Number: 378, Binary: 101111010, Hexadecimal: 17A
Number: 543, Binary: 1000011111, Hexadecimal: 21F
Number: 807, Binary: 1100100111, Hexadecimal: 327
Number: 884, Binary: 1101110100, Hexadecimal: 374
Number: 945, Binary: 1110110001, Hexadecimal: 3B1
Number: 694, Binary: 1010110110, Hexadecimal: 2B6
Number: 122, Binary: 1111010, Hexadecimal: 7A
Number: 360, Binary: 101101000, Hexadecimal: 168
Number: 964, Binary: 1111000100, Hexadecimal: 3C4
Number: 858, Binary: 1101011010, Hexadecimal: 35A
Number: 528, Binary: 1000010000, Hexadecimal: 210
Number: 160, Binary: 10100000, Hexadecimal: A0
Number: 900, Binary: 1110000100, Hexadecimal: 384
Number: 491, Binary: 111101011, Hexadecimal: 1EB
Number: 222, Binary: 11011110, Hexadecimal: DE
Number: 227, Binary: 11100011, Hexadecimal: E3
Number: 385, Binary: 110000001, Hexadecimal: 181
Number: 539, Binary: 1000011011, Hexadecimal: 21B
Number: 203, Binary: 11001011, Hexadecimal: CB
Number: 822, Binary: 1100110110, Hexadecimal: 336
Number: 664, Binary: 1010011000, Hexadecimal: 298
Number: 830, Binary: 1100111110, Hexadecimal: 33E
Number: 838, Binary: 1101000110, Hexadecimal: 346
Number: 479, Binary: 111011111, Hexadecimal: 1DF
Number: 4, Binary: 100, Hexadecimal: 4
Number: 202, Binary: 11001010, Hexadecimal: CA
Number: 426, Binary: 110101010, Hexadecimal: 1AA
Number: 895, Binary: 1101111111, Hexadecimal: 37F
Number: 417, Binary: 110100001, Hexadecimal: 1A1
Number: 731, Binary: 1011011011, Hexadecimal: 2DB
Number: 423, Binary: 110100111, Hexadecimal: 1A7
Number: 409, Binary: 110011001, Hexadecimal: 199
Number: 538, Binary: 1000011010, Hexadecimal: 21A
Number: 730, Binary: 1011011010, Hexadecimal: 2DA
Number: 663, Binary: 1010010111, Hexadecimal: 297
Number: 253, Binary: 11111101, Hexadecimal: FD
Number: 489, Binary: 111101001, Hexadecimal: 1E9
Number: 537, Binary: 1000011001, Hexadecimal: 219
Number: 606, Binary: 1001011110, Hexadecimal: 25E
Number: 196, Binary: 11000100, Hexadecimal: C4
Number: 306, Binary: 100110010, Hexadecimal: 132
Number: 825, Binary: 1100111001, Hexadecimal: 339
Number: 264, Binary: 100001000, Hexadecimal: 108
Number: 480, Binary: 111100000, Hexadecimal: 1E0
Number: 620, Binary: 1001101100, Hexadecimal: 26C
Number: 465, Binary: 111010001, Hexadecimal: 1D1
Number: 938, Binary: 1110101010, Hexadecimal: 3AA
Number: 553, Binary: 1000101001, Hexadecimal: 229
Number: 149, Binary: 10010101, Hexadecimal: 95
Number: 785, Binary: 1100010001, Hexadecimal: 311
Number: 127, Binary: 1111111, Hexadecimal: 7F
Number: 521, Binary: 1000001001, Hexadecimal: 209
Number: 737, Binary: 1011100001, Hexadecimal: 2E1
Number: 205, Binary: 11001101, Hexadecimal: CD
Number: 235, Binary: 11101011, Hexadecimal: EB
Number: 647, Binary: 1010000111, Hexadecimal: 287
Number: 147, Binary: 10010011, Hexadecimal: 93
Number: 251, Binary: 11111011, Hexadecimal: FB
Number: 494, Binary: 111101110, Hexadecimal: 1EE
Number: 289, Binary: 100100001, Hexadecimal: 121
Number: 280, Binary: 100011000, Hexadecimal: 118
Number: 618, Binary: 1001101010, Hexadecimal: 26A
Number: 826, Binary: 1100111010, Hexadecimal: 33A
Number: 167, Binary: 10100111, Hexadecimal: A7
Number: 831, Binary: 1100111111, Hexadecimal: 33F
Number: 303, Binary: 100101111, Hexadecimal: 12F
Number: 941, Binary: 1110101101, Hexadecimal: 3AD
Number: 696, Binary: 1010111000, Hexadecimal: 2B8
Number: 673, Binary: 1010100001, Hexadecimal: 2A1
Number: 23, Binary: 10111, Hexadecimal: 17
Number: 971, Binary: 1111001011, Hexadecimal: 3CB
Number: 612, Binary: 1001100100, Hexadecimal: 264
Number: 247, Binary: 11110111, Hexadecimal: F7
Number: 841, Binary: 1101001001, Hexadecimal: 349
Number: 347, Binary: 101011011, Hexadecimal: 15B
Number: 562, Binary: 1000110010, Hexadecimal: 232
Number: 690, Binary: 1010110010, Hexadecimal: 2B2
Number: 704, Binary: 1011000000, Hexadecimal: 2C0
Number: 340, Binary: 101010100, Hexadecimal: 154
Number: 568, Binary: 1000111000, Hexadecimal: 238
Number: 327, Binary: 101000111, Hexadecimal: 147
Number: 388, Binary: 110000100, Hexadecimal: 184
Number: 805, Binary: 1100100101, Hexadecimal: 325
Number: 429, Binary: 110101101, Hexadecimal: 1AD
Number: 746, Binary: 1011101010, Hexadecimal: 2EA
Number: 757, Binary: 1011110101, Hexadecimal: 2F5
Number: 800, Binary: 1100100000, Hexadecimal: 320
Number: 936, Binary: 1110101000, Hexadecimal: 3A8
Number: 712, Binary: 1011001000, Hexadecimal: 2C8
Number: 767, Binary: 1011111111, Hexadecimal: 2FF
Number: 468, Binary: 111010100, Hexadecimal: 1D4
Number: 445, Binary: 110111101, Hexadecimal: 1BD
Number: 784, Binary: 1100010000, Hexadecimal: 310
Number: 442, Binary: 110111010, Hexadecimal: 1BA
Number: 412, Binary: 110011100, Hexadecimal: 19C
Number: 962, Binary: 1111000010, Hexadecimal: 3C2
Number: 444, Binary: 110111100, Hexadecimal: 1BC
Number: 265, Binary: 100001001, Hexadecimal: 109
Number: 108, Binary: 1101100, Hexadecimal: 6C
Number: 146, Binary: 10010010, Hexadecimal: 92
Number: 268, Binary: 100001100, Hexadecimal: 10C
Number: 232, Binary: 11101000, Hexadecimal: E8
Number: 742, Binary: 1011100110, Hexadecimal: 2E6
Number: 315, Binary: 100111011, Hexadecimal: 13B
Number: 774, Binary: 1100000110, Hexadecimal: 306
Number: 549, Binary: 1000100101, Hexadecimal: 225
Number: 476, Binary: 111011100, Hexadecimal: 1DC
Number: 542, Binary: 1000011110, Hexadecimal: 21E
Number: 760, Binary: 1011111000, Hexadecimal: 2F8
Number: 910, Binary: 1110001110, Hexadecimal: 38E
Number: 617, Binary: 1001101001, Hexadecimal: 269
Number: 259, Binary: 100000011, Hexadecimal: 103
Number: 448, Binary: 111000000, Hexadecimal: 1C0
Number: 330, Binary: 101001010, Hexadecimal: 14A
Number: 170, Binary: 10101010, Hexadecimal: AA
Number: 21, Binary: 10101, Hexadecimal: 15
Number: 382, Binary: 101111110, Hexadecimal: 17E
Number: 75, Binary: 1001011, Hexadecimal: 4B
Number: 839, Binary: 1101000111, Hexadecimal: 347
Number: 829, Binary: 1100111101, Hexadecimal: 33D
Number: 953, Binary: 1110111001, Hexadecimal: 3B9
Number: 799, Binary: 1100011111, Hexadecimal: 31F
Number: 591, Binary: 1001001111, Hexadecimal: 24F
Number: 530, Binary: 1000010010, Hexadecimal: 212
Number: 992, Binary: 1111100000, Hexadecimal: 3E0
Number: 428, Binary: 110101100, Hexadecimal: 1AC
Number: 793, Binary: 1100011001, Hexadecimal: 319
Number: 487, Binary: 111100111, Hexadecimal: 1E7
Number: 611, Binary: 1001100011, Hexadecimal: 263
Number: 983, Binary: 1111010111, Hexadecimal: 3D7
Number: 834, Binary: 1101000010, Hexadecimal: 342
Number: 101, Binary: 1100101, Hexadecimal: 65
Number: 241, Binary: 11110001, Hexadecimal: F1
Number: 114, Binary: 1110010, Hexadecimal: 72
Number: 721, Binary: 1011010001, Hexadecimal: 2D1
Number: 675, Binary: 1010100011, Hexadecimal: 2A3
Number: 270, Binary: 100001110, Hexadecimal: 10E
Number: 230, Binary: 11100110, Hexadecimal: E6
Number: 932, Binary: 1110100100, Hexadecimal: 3A4
Number: 229, Binary: 11100101, Hexadecimal: E5
Number: 665, Binary: 1010011001, Hexadecimal: 299
Number: 670, Binary: 1010011110, Hexadecimal: 29E
Number: 907, Binary: 1110001011, Hexadecimal: 38B
Number: 182, Binary: 10110110, Hexadecimal: B6
Number: 926, Binary: 1110011110, Hexadecimal: 39E
Number: 610, Binary: 1001100010, Hexadecimal: 262
Number: 219, Binary: 11011011, Hexadecimal: DB
Number: 903, Binary: 1110000111, Hexadecimal: 387
Number: 651, Binary: 1010001011, Hexadecimal: 28B
Number: 940, Binary: 1110101100, Hexadecimal: 3AC
Number: 699, Binary: 1010111011, Hexadecimal: 2BB
Number: 894, Binary: 1101111110, Hexadecimal: 37E
Number: 600, Binary: 1001011000, Hexadecimal: 258
